
Pre-schedule statistics


Total nodes: 197

Node class;Type;Length;Num
NodeAdd;{HWOffsetFix:16, 0, UNSIGNED};0;10
NodeAdd;{HWOffsetFix:19, 4, UNSIGNED};0;10
NodeAdd;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};0;22
NodeAnd;{HWOffsetFix:1, 0, UNSIGNED};0;5
NodeCast;{HWOffsetFix:16, 0, UNSIGNED};0;10
NodeCast;{HWOffsetFix:9, 0, UNSIGNED};0;2
NodeConstantDouble;HWUntypedConst;0;13
NodeConstantRawBits;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeConstantRawBits;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};0;2
NodeConstantRawBits;{HWOffsetFix:49, 0, UNSIGNED};0;2
NodeCounterV1;{HWOffsetFix:16, 0, UNSIGNED};0;2
NodeCounterV1;{HWOffsetFix:48, 0, UNSIGNED};0;2
NodeEq;{HWOffsetFix:1, 0, UNSIGNED};0;5
NodeInput;{HWRawBits:320};0;2
NodeInputMappedReg;{HWOffsetFix:1, 0, UNSIGNED};0;4
NodeInputMappedReg;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeLt;{HWOffsetFix:1, 0, UNSIGNED};0;2
NodeMappedRom;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};40000;10
NodeMappedRom;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};500;1
NodeMul;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};0;20
NodeMux;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};0;4
NodeNot;{HWOffsetFix:1, 0, UNSIGNED};0;4
NodeReinterpret;{HWOffsetFix:16, 4, UNSIGNED};0;10
NodeReinterpret;{HWOffsetFix:16, 6, UNSIGNED};0;10
NodeReinterpret;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};0;20
NodeSlice;{HWRawBits:32};0;20
NodeStreamOffset;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};0;2
NodeStreamOffset;{HWOffsetFix:48, 0, UNSIGNED};0;1

Final statistics


Total nodes: 210

Node class;Type;Length;Num
NodeAdd;{HWOffsetFix:16, 0, UNSIGNED};0;10
NodeAdd;{HWOffsetFix:19, 4, UNSIGNED};0;10
NodeAdd;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};0;22
NodeAnd;{HWOffsetFix:1, 0, UNSIGNED};0;5
NodeCast;{HWOffsetFix:16, 0, UNSIGNED};0;10
NodeCast;{HWOffsetFix:9, 0, UNSIGNED};0;2
NodeConstantDouble;HWUntypedConst;0;13
NodeConstantRawBits;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeConstantRawBits;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};0;2
NodeConstantRawBits;{HWOffsetFix:49, 0, UNSIGNED};0;2
NodeCounterV1;{HWOffsetFix:16, 0, UNSIGNED};0;2
NodeCounterV1;{HWOffsetFix:48, 0, UNSIGNED};0;2
NodeEq;{HWOffsetFix:1, 0, UNSIGNED};0;5
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};17;1
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};3;1
NodeFIFO;{HWOffsetFix:16, 0, UNSIGNED};1;1
NodeFIFO;{HWOffsetFix:16, 0, UNSIGNED};13;1
NodeFIFO;{HWOffsetFix:16, 0, UNSIGNED};2;1
NodeFIFO;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};1;2
NodeFIFO;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};11;2
NodeFIFO;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};2;2
NodeFIFO;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};487;2
NodeInput;{HWRawBits:320};0;2
NodeInputMappedReg;{HWOffsetFix:1, 0, UNSIGNED};0;4
NodeInputMappedReg;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeLt;{HWOffsetFix:1, 0, UNSIGNED};0;2
NodeMappedRom;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};40000;10
NodeMappedRom;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};500;1
NodeMul;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};0;20
NodeMux;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};0;4
NodeNot;{HWOffsetFix:1, 0, UNSIGNED};0;4
NodeReinterpret;{HWOffsetFix:16, 4, UNSIGNED};0;10
NodeReinterpret;{HWOffsetFix:16, 6, UNSIGNED};0;10
NodeReinterpret;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};0;20
NodeSlice;{HWRawBits:32};0;20
NodeStreamOffset;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};0;2
NodeStreamOffset;{HWOffsetFix:48, 0, UNSIGNED};0;1
